latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
36.72897,43.28313,314.5,0.7,0.75,2020-05-26,00:00,N,nominal,1.0NRT,285.2,1.7,N
36.9439,42.17094,308.6,0.6,0.71,2020-05-26,00:00,N,nominal,1.0NRT,283.3,1,N
36.94387,42.17171,307.5,0.6,0.71,2020-05-26,00:00,N,nominal,1.0NRT,283.1,1.1,N
36.9634,42.08379,300.5,0.6,0.7,2020-05-26,00:00,N,nominal,1.0NRT,282.9,0.5,N
36.93549,42.12929,297.8,0.6,0.71,2020-05-26,00:00,N,nominal,1.0NRT,284.2,0.9,N
36.91585,41.89355,298.2,0.58,0.7,2020-05-26,00:00,N,nominal,1.0NRT,282.5,0.8,N
36.91432,41.89772,299.9,0.59,0.7,2020-05-26,00:00,N,nominal,1.0NRT,282.6,0.8,N
35.99985,43.76626,337.4,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,284.9,4.9,N
36.00257,43.75793,306,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,284.6,4.9,N
36.01989,43.68084,341,0.76,0.77,2020-05-26,00:00,N,nominal,1.0NRT,289.5,9.6,N
36.01728,43.68884,297,0.76,0.77,2020-05-26,00:00,N,nominal,1.0NRT,284.9,4.3,N
35.99319,43.76263,304.3,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,284.6,5,N
35.98381,43.76734,326.3,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,287.4,3.4,N
35.98105,43.77575,299.7,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,284.9,3.4,N
35.99882,43.7587,336.4,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,287.2,9.3,N
36.02254,43.68461,312.1,0.76,0.77,2020-05-26,00:00,N,nominal,1.0NRT,285.9,2.6,N
35.99614,43.76707,319.1,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,284,5.7,N
36.01576,43.68145,340.5,0.76,0.77,2020-05-26,00:00,N,nominal,1.0NRT,286.8,6.9,N
35.98016,43.76808,341.3,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,288.2,9,N
35.97085,43.77266,298.8,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,287.4,2.4,N
35.96436,43.7685,313.9,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,287.6,2.4,N
34.60769,37.90485,300.3,0.42,0.61,2020-05-26,00:00,N,nominal,1.0NRT,282.9,0.7,N
34.61059,37.90166,299.2,0.42,0.61,2020-05-26,00:00,N,nominal,1.0NRT,282.5,0.6,N
34.71786,36.6358,297,0.35,0.57,2020-05-26,00:00,N,nominal,1.0NRT,283.8,1.1,N
34.71689,36.6396,314.6,0.35,0.57,2020-05-26,00:00,N,nominal,1.0NRT,284.3,1.1,N
34.7118,36.63772,315.4,0.35,0.57,2020-05-26,00:00,N,nominal,1.0NRT,281.5,1.1,N
35.1146,40.52185,326.5,0.56,0.69,2020-05-26,00:00,N,nominal,1.0NRT,287,1.8,N
35.3034,40.44432,300.7,0.55,0.68,2020-05-26,00:00,N,nominal,1.0NRT,285.9,1,N
35.38189,40.30249,296.6,0.53,0.67,2020-05-26,00:00,N,nominal,1.0NRT,286.5,0.7,N
36.86917,34.75775,300.5,0.5,0.49,2020-05-26,00:00,N,nominal,1.0NRT,287.6,1,N
36.30383,37.17527,298.6,0.35,0.56,2020-05-26,00:00,N,nominal,1.0NRT,284.2,0.5,N
35.95451,43.72623,308.4,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,285.5,1.5,N
35.95194,43.73419,298.2,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,286.2,1.5,N
36.71673,36.20041,299.5,0.6,0.53,2020-05-26,00:00,N,nominal,1.0NRT,287.1,1.8,N
36.71867,36.20057,301.5,0.6,0.53,2020-05-26,00:00,N,nominal,1.0NRT,287.7,1.1,N
36.73127,36.21244,300.8,0.6,0.53,2020-05-26,00:00,N,nominal,1.0NRT,289.9,2.4,N
36.75026,36.21948,298,0.6,0.53,2020-05-26,00:00,N,nominal,1.0NRT,287.4,0.5,N
37.02043,36.10823,299,0.58,0.52,2020-05-26,00:00,N,nominal,1.0NRT,287,1.1,N
34.99854,43.49288,298.4,0.8,0.78,2020-05-26,00:00,N,nominal,1.0NRT,288,1.1,N
36.14309,40.81992,303.9,0.54,0.68,2020-05-26,00:00,N,nominal,1.0NRT,283.6,1.8,N
36.14035,40.8181,310.2,0.54,0.68,2020-05-26,00:00,N,nominal,1.0NRT,283.6,0.9,N
37.35184,37.1632,310.9,0.33,0.55,2020-05-26,00:00,N,nominal,1.0NRT,287.4,1.3,N
37.35038,37.16132,303.3,0.33,0.55,2020-05-26,00:00,N,nominal,1.0NRT,286,1,N
35.6858,43.88213,306.3,0.8,0.78,2020-05-26,00:00,N,nominal,1.0NRT,286.1,2.4,N
35.68862,43.87343,315.5,0.79,0.78,2020-05-26,00:00,N,nominal,1.0NRT,286.3,2.4,N
35.92469,43.78666,306.7,0.78,0.78,2020-05-26,00:00,N,nominal,1.0NRT,286.8,2.6,N
35.94981,43.73229,303.9,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,286.2,2.7,N
35.95235,43.72427,300.1,0.77,0.77,2020-05-26,00:00,N,nominal,1.0NRT,285.2,3,N
34.54533,38.27142,326.4,0.44,0.62,2020-05-26,00:00,N,nominal,1.0NRT,286.7,2,N
34.5479,38.26189,301.8,0.44,0.62,2020-05-26,00:00,N,nominal,1.0NRT,286.1,1.5,N
34.5466,38.2667,314.4,0.44,0.62,2020-05-26,00:00,N,nominal,1.0NRT,286.3,2,N
34.54236,38.25974,302,0.44,0.62,2020-05-26,00:00,N,nominal,1.0NRT,285.9,1.5,N
34.54104,38.26461,311.8,0.44,0.62,2020-05-26,00:00,N,nominal,1.0NRT,285.8,2,N
34.91542,37.94377,301.2,0.41,0.61,2020-05-26,00:00,N,nominal,1.0NRT,280.5,0.9,N
34.91305,37.94429,298.9,0.41,0.61,2020-05-26,00:00,N,nominal,1.0NRT,280.2,0.5,N
34.91845,37.94635,300.8,0.41,0.61,2020-05-26,00:00,N,nominal,1.0NRT,280.5,0.5,N
36.47334,32.15069,305.4,0.57,0.43,2020-05-26,00:00,N,nominal,1.0NRT,286.3,1.2,N
36.26405,33.73162,305.7,0.46,0.47,2020-05-26,00:00,N,nominal,1.0NRT,287.7,0.3,N
37.25243,30.44336,301.3,0.46,0.39,2020-05-26,00:00,N,nominal,1.0NRT,284.7,0.9,N
34.91288,40.82631,308.1,0.58,0.7,2020-05-26,00:00,N,nominal,1.0NRT,286.3,1.9,N
34.90763,40.82367,297.7,0.58,0.7,2020-05-26,00:00,N,nominal,1.0NRT,285.4,1,N
34.91379,40.82635,302.1,0.58,0.7,2020-05-26,00:00,N,nominal,1.0NRT,286.2,1,N
35.11093,40.52745,316.3,0.56,0.69,2020-05-26,00:00,N,nominal,1.0NRT,286.1,4.1,N
35.11264,40.52147,335.4,0.56,0.69,2020-05-26,00:00,N,nominal,1.0NRT,287.3,6.6,N
35.92654,43.78843,311.4,0.77,0.78,2020-05-26,00:00,N,nominal,1.0NRT,287.3,2.1,N
35.1068,40.5252,302.1,0.56,0.69,2020-05-26,00:00,N,nominal,1.0NRT,286,1.8,N
35.10855,40.51925,315.8,0.56,0.69,2020-05-26,00:00,N,nominal,1.0NRT,286.1,1.8,N
35.11285,40.52781,302,0.56,0.69,2020-05-26,00:00,N,nominal,1.0NRT,285.9,1.8,N
